Neighborhood,Walk_Score_Link
Central Park South,https://www.walkscore.com/NY/New_York/Theater_District
Tribeca,https://www.walkscore.com/NY/New_York/Tribeca
Nolita,https://www.walkscore.com/NY/New_York/NoLita
SoHo,https://www.walkscore.com/NY/New_York/SoHo
Flatiron,https://www.walkscore.com/NY/New_York/Flatiron_District
West Village,https://www.walkscore.com/NY/New_York/West_Village
West Chelsea,https://www.walkscore.com/NY/New_York/Chelsea
Midtown,https://www.walkscore.com/NY/New_York/Theater_District
Chelsea,https://www.walkscore.com/NY/New_York/Chelsea
Greenwich Village,https://www.walkscore.com/NY/New_York/Greenwich_Village
Lincoln Square,https://www.walkscore.com/NY/New_York/Upper_West_Side
Midtown West,https://www.walkscore.com/NY/New_York/Hell%27s_Kitchen
Lenox Hill,https://www.walkscore.com/NY/New_York/Upper_East_Side
Carnegie Hill,https://www.walkscore.com/NY/New_York/Upper_East_Side
Battery Park City,https://www.walkscore.com/NY/New_York/Financial_District
Upper Carnegie Hill,https://www.walkscore.com/NY/New_York/Upper_East_Side
Upper West Side,https://www.walkscore.com/NY/New_York/Upper_West_Side
Dumbo,https://www.walkscore.com/NY/New_York/DUMBO
Financial District,https://www.walkscore.com/NY/New_York/Financial_District
Gramercy Park,https://www.walkscore.com/NY/New_York/Gramercy_Park
East Village,https://www.walkscore.com/NY/New_York/East_Village
Midtown South,https://www.walkscore.com/NY/New_York/Murray_Hill
Upper East Side,https://www.walkscore.com/NY/New_York/Upper_East_Side
Turtle Bay,https://www.walkscore.com/NY/New_York/Murray_Hill
Boerum Hill,https://www.walkscore.com/NY/New_York/Boerum_Hill
Williamsburg,https://www.walkscore.com/NY/New_York/Williamsburg
Carroll Gardens,https://www.walkscore.com/NY/New_York/Carroll_Gardens
Murray Hill,https://www.walkscore.com/NY/New_York/Murray_Hill
Midtown East,https://www.walkscore.com/NY/New_York/Midtown_East
Brooklyn Heights,https://www.walkscore.com/NY/New_York/Brooklyn_Heights
Park Slope,https://www.walkscore.com/NY/New_York/Park_Slope
Lower East Side,https://www.walkscore.com/NY/New_York/Lower_East_Side
Greenpoint,https://www.walkscore.com/NY/New_York/Greenpoint
Prospect Heights,https://www.walkscore.com/NY/New_York/Prospect_Heights
Sutton Place,https://www.walkscore.com/NY/New_York/Midtown_East
Kips Bay,https://www.walkscore.com/NY/New_York/Kips_Bay
Crown Heights,https://www.walkscore.com/NY/New_York/Crown_Heights
Bushwick,https://www.walkscore.com/NY/New_York/Bushwick
Bedford-Stuyvesant,https://www.walkscore.com/NY/New_York/Bedford-Stuyvesant